pH,biochar_dosage (g/L),initial_concentration (ppm),time (min),temperature (celsius),C_o (mg/ml),C_e (mg/ml),%removal,ABS,Experiment_Type
2,1.500,100,180,30,17.841,6.152,96.550,,pH Variation
4,1.500,100,180,30,15.266,6.504,95.730,,pH Variation
6,1.500,100,180,30,11.579,10.300,90.760,,pH Variation
8,1.500,100,180,30,10.855,9.633,91.125,,pH Variation
10,1.500,100,180,30,10.277,15.694,84.730,,pH Variation
12,1.500,100,180,30,10.147,11.233,86.230,,pH Variation
6,0.200,100,180,30,,55.459,44.541,0.723,Dose Variation
6,0.500,100,180,30,,19.889,80.111,0.266,Dose Variation
6,1.000,100,180,30,,8.994,91.006,0.126,Dose Variation
6,1.500,100,180,30,,6.754,93.246,0.097,Dose Variation
6,2.000,100,180,30,,6.151,93.849,0.090,Dose Variation
6,2.500,100,180,30,,6.624,93.376,0.096,Dose Variation
6,3.000,100,180,30,,5.179,94.821,0.077,Dose Variation
6,1.500,25,180,30,28.166,0.621,97.795,,Concentration Variation
6,1.500,50,180,30,49.023,0.182,99.629,,Concentration Variation
6,1.500,75,180,30,73.970,0.679,99.082,,Concentration Variation
6,1.500,100,180,30,95.771,0.942,99.016,,Concentration Variation
6,1.500,200,180,30,101.783,2.160,97.878,,Concentration Variation
6,1.500,300,180,30,90.292,5.339,94.087,,Concentration Variation
6,1.500,400,180,30,90.939,34.214,62.377,,Concentration Variation
6,1.500,500,180,30,90.508,40.127,55.665,,Concentration Variation
6,1.500,100,5,30,,1.351,98.649,,Time Variation
6,1.500,100,10,30,,0.921,99.079,,Time Variation
6,1.500,100,15,30,,0.529,99.471,,Time Variation
6,1.500,100,20,30,,0.383,99.617,,Time Variation
6,1.500,100,30,30,,,,,Time Variation
6,1.500,100,45,30,,,,,Time Variation
6,1.500,100,60,30,,,,,Time Variation
6,1.500,100,75,30,,,,,Time Variation
6,1.500,100,90,30,,,,,Time Variation
6,1.500,100,120,30,,,,,Time Variation
6,1.500,100,150,30,,,,,Time Variation
6,1.500,100,180,30,,,,,Time Variation
